,contact_cost,joint_limits_cost,object_cost,pose_cost,power_cost,reach_cost,reg_cost,self_collision_cost
0,0.0,0.0,0.0,250.16402601027144,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,250.16266563357152,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,250.17086227520036,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,250.19258285110507,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,250.21264627674648,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,250.1950080933412,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,250.17773358094058,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,250.1624340193191,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,250.15665572496562,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,250.13233562919916,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,250.07485222902085,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,250.00289488786638,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,249.93474173690004,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,249.84763972604267,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,249.7508395148981,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,249.65834388825698,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,249.49513521133576,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,249.29872062778492,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,249.07572780087642,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,248.82361488115941,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,248.5542263435819,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,248.26533044023668,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,247.89748348354973,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,247.46971587615036,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,246.9768572989268,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,246.4764695432856,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,245.91914739445593,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,245.29975487937207,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,244.62787236666668,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,243.93935872562957,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,243.23715244233694,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,242.49345114175236,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,241.7092581470112,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,240.88095850353972,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,240.02069461101996,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,239.14868705219646,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,238.25707839471224,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,237.34272287104716,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,236.4368483911103,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,235.51565077938443,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,234.5782300497542,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,233.62260637686398,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,232.65517718958628,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,231.65995060299622,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,230.69205939224432,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,229.7203096178427,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,228.73647254235232,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,227.73477966944034,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,226.74113441730606,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,225.72559333499436,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,224.67993675232793,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,223.62111303933665,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,222.5705484741818,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,221.50890788852024,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,220.42770234570696,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,219.36397661158114,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,218.30497480451783,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,217.23567588738732,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,216.18833924924547,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,215.13784446000778,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,214.0866019551701,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,213.0545045811208,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,212.03847559693105,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,211.0205947278855,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,209.98975836056982,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,208.9677294167732,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,207.9410455952505,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,206.91307614867517,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,205.88690233959647,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,204.86916941673022,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,203.84976589268868,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,202.8159388681394,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,201.77769851939502,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,200.7548595386702,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,199.71468259011624,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,198.64341016098163,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,197.5483908518217,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,196.46379989979457,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,195.37018307842183,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,194.26373797377641,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,193.16175604753965,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,192.05920524731917,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,190.93922157935376,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,189.80098497777993,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,188.64850721214438,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,187.49649716648116,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,186.33979771770433,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,185.19009983759523,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,184.04849575983417,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,182.89970186414274,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,181.7594718880968,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,180.60344824067266,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,179.44473969657534,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,178.27927011384745,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,177.10594722358783,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,175.94455133940863,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,174.78623105097162,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,173.62229109444135,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,172.4595102250071,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,171.28641838497347,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,170.12182691388276,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,168.96567357966333,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,167.81417732265885,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,166.6640980199832,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,165.48606897610406,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,164.2994871578835,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,163.10933905904656,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,161.9173938939168,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,160.725716016827,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,159.53958319331974,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,158.36379057187608,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,157.20061540104393,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,156.02956972214434,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,154.87040040109991,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,153.70435569522917,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,152.5349112022263,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,151.36290724030022,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,150.19907360505758,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,149.04466407659908,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,147.88519151750185,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,146.7344312752048,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,145.5937085496238,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,144.43813372852577,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,143.27875887734362,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,142.12196032629677,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,140.97235325025352,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,139.83250357099925,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,138.71633096782955,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,137.60981024571913,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,136.47884267203918,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,135.34828851794674,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,134.21329241981118,0.0,0.0,0.0,0.0
