,contact_cost,joint_limits_cost,object_cost,pose_cost,power_cost,reach_cost,reg_cost,self_collision_cost
0,0.0,0.0,0.0,218.39778163421477,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,218.39882792366586,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,218.39292653504427,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,218.37393684333858,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,218.34758510696724,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,218.3153565723434,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,218.27471868746022,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,218.24069874193012,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,218.20757245230726,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,218.1626159574211,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,218.11306571371455,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,218.04418119207727,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,217.95548391973028,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,217.8731178464434,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,217.79792829637535,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,217.7134594110155,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,217.62041635933787,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,217.50722259386382,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,217.37132893354607,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,217.2055472624572,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,217.02813044571616,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,216.82935645595074,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,216.62107137176352,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,216.3804642226743,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,216.1156749188164,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,215.82122816085638,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,215.49368849556015,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,215.1382773323038,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,214.77528479152818,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,214.40103528268713,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,214.01082335680488,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,213.5984764515497,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,213.1908557469842,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,212.7702542969726,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,212.322168386839,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,211.84604807215857,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,211.36064241548195,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,210.87104039831635,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,210.38269200594993,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,209.89104189884694,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,209.37353538050363,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,208.84680954193666,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,208.29944124847924,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,207.7469185880825,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,207.1707668837309,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,206.5709885578453,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,205.94064953087377,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,205.27251471992236,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,204.57808050746246,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,203.8657646384483,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,203.14579708340878,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,202.4314702505545,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,201.73478127476588,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,201.03920376291583,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,200.3484142787465,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,199.62783627442587,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,198.88795737278684,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,198.13493364989608,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,197.38029081611433,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,196.62023306011136,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,195.86148602727033,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,195.10835452815036,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,194.330521074966,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,193.54919446792275,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,192.76133603905376,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,191.9619686495844,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,191.15341167051162,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,190.3568107210226,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,189.55678408300088,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,188.73265260848737,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,187.90325589579547,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,187.0816201349141,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,186.2618330078157,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,185.42705444921341,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,184.58209000453203,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,183.72892655919975,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,182.8693997742131,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,182.0111237438008,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,181.14141727200044,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,180.2658424089956,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,179.39816343913373,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,178.52943332722816,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,177.67059404802978,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,176.81548693986832,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,175.96342583515903,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,175.11573954082803,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,174.27120513515987,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,173.4315120799081,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,172.59892006042884,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,171.76334503505564,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,170.92943831804746,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,170.10730602362102,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,169.27868846048423,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,168.44455292197136,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,167.59553687818737,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,166.7417092810619,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,165.87110107572445,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,164.97429066044364,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,164.06423388828384,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,163.13812864347375,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,162.20691546320683,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,161.27270256697824,0.0,0.0,0.0,0.0
